Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,JAVASCRIPT,TYPESCRIPT,REACT,VUE,ANGULAR,HTML_CSS,WEBPACK,NODEJS
Бизнес-эксперт (CRM),https://hh.ru/vacancy/118505700,Динамика,от 200000 до 350000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0,0
PHP-программист,https://hh.ru/vacancy/107017641,РобоФинанс,не указана,От 3 до 6 лет,Да,1,0,1,0,1,0,0,0,1,0,0,0,0
Golang developer (A/B-платформа),https://hh.ru/vacancy/118744087,WILDBERRIES,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
"Бизнес/Системный аналитик стрима ""Аналитика и отчетность""",https://hh.ru/vacancy/118453422,Банк ВТБ (ПАО),не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
"Junior fullstack (C# .Net core, React)/Младший веб-разработчик",https://hh.ru/vacancy/118816068,UFS.travel,до 120000 RUR,От 1 года до 3 лет,Да,1,0,0,0,0,1,0,1,0,0,0,1,1
Руководитель Службы внутреннего контроля,https://hh.ru/vacancy/118619021,R-Style Softlab (Эр-Стайл Софтлаб),не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Главный специалист по сопровождению торгового эквайринга,https://hh.ru/vacancy/118823935,"ЗЕНИТ, банк",от 100000 до 100000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0
Teamlead backend-разработки (Java),https://hh.ru/vacancy/119072285,Системная Интеграция,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,1,0,0
Middle\Senior Системный аналитик,https://hh.ru/vacancy/118293415,БФТ-Холдинг,не указана,От 3 до 6 лет,Да,1,0,0,0,0,0,0,0,0,0,0,0,0
Системный администратор,https://hh.ru/vacancy/117075939,R-Style Softlab (Эр-Стайл Софтлаб),не указана,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0,0
Flutter Программист,https://hh.ru/vacancy/117554893,Инмедикум. Онлайн,от 80000 до 180000 RUR,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0,0
Программист Ruby Senior,https://hh.ru/vacancy/117645869,Рейне,от 150000 до 300000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,0,0,0,0,0
C#/.NET-разработчик,https://hh.ru/vacancy/109735116,ИЦ АЙ-ТЕКО,до 250000 RUR,От 3 до 6 лет,Да,1,0,0,0,0,1,0,0,1,1,1,0,0
Инженер по сопровождению фронт-офисных платформ и сервисов,https://hh.ru/vacancy/115509367,Банк ВТБ (ПАО),не указана,От 3 до 6 лет,Нет,0,1,1,0,1,0,0,0,0,0,0,0,0
