Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,PYTHON,TENSORFLOW,PYTORCH,SCIKIT_LEARN,PANDAS,NUMPY,MATPLOTLIB,SQL,DEEP_LEARNING,COMPUTER_VISION,NLP,MATH,GIT,DOCKER,CLOUD
Deep Learning Research Engineer (R&D),https://hh.ru/vacancy/119089409,Photo Lab,от 5000 USD,От 3 до 6 лет,Да,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Data Analyst,https://hh.ru/vacancy/115552777,СБЕР,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Разработчик машинного обучения в группу анализа медиаконтента Музыки,https://hh.ru/vacancy/119068361,Яндекс,не указана,От 3 до 6 лет,Нет,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Руководитель отдела машинного обучения (Data Platform и ML ),https://hh.ru/vacancy/119507313,БЮРО 1440,не указана,От 3 до 6 лет,Нет,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0
AI/ML Engineer / AI/ML Инженер / AI/ML Разработчик,https://hh.ru/vacancy/119393281,Passionate Agency,от 2000 USD,От 3 до 6 лет,Да,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1
Data Scientist / ML-инженер,https://hh.ru/vacancy/118831649,Медиалогия,не указана,От 3 до 6 лет,Да,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
Data Scientist в команду RecSys (middle),https://hh.ru/vacancy/118008212,Литрес,не указана,От 1 года до 3 лет,Да,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0
"Tech Lead ML в Дзен, Москва (офис)",https://hh.ru/vacancy/119339333,VK,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Golang Developer (MLS Core),https://hh.ru/vacancy/117881572,Cloud.ru,не указана,От 3 до 6 лет,Нет,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Ведущий разработчик Python (ML),https://hh.ru/vacancy/118303339,1С,не указана,От 3 до 6 лет,Нет,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Руководитель команды ML и R&D,https://hh.ru/vacancy/118977355,NAUMEN,не указана,Более 6 лет,Да,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
