Должность,Ссылка,Компания,Зарплата,Опыт,Удаленная работа,GIT,LINUX,DOCKER,AWS,KUBERNETES,SECURITY,PENTEST,OWASP,SIEM,NETWORK,CRYPTO,COMPLIANCE
"Аналитик ИБ, Ozon Банк",https://hh.ru/vacancy/118962926,Ozon,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с партнерами,https://hh.ru/vacancy/113271988,Р-Вижн,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Ведущий эксперт (pentest),https://hh.ru/vacancy/117343439,СБЕР,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,1,1,0,0,0,1
Директор по работе с ключевыми заказчиками,https://hh.ru/vacancy/116337786,Солар,не указана,Более 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Business Development Manager (BDM),https://hh.ru/vacancy/118073672,Р-Вижн,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Специалист по кибербезопасности / по информационной безопасности,https://hh.ru/vacancy/118618648,Крупный многопрофильный холдинг,от 289000 RUR,От 3 до 6 лет,Нет,0,1,0,0,0,0,0,0,0,0,0,0
Руководитель направления развития средств защиты в Финтех,https://hh.ru/vacancy/119033663,Яндекс,не указана,Более 6 лет,Нет,0,1,0,0,0,1,0,0,1,0,1,0
Senior Go developer (облачные решения в области мониторинга и телеметрии),https://hh.ru/vacancy/118965050,Клауд Солюшенс,не указана,Более 6 лет,Нет,0,1,0,0,0,1,0,0,0,0,0,0
Технический аккаунт-менеджер,https://hh.ru/vacancy/118735211,VK,не указана,От 3 до 6 лет,Да,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам обучающих курсов по кибербезопасности B2C / Специалист по продажам B2C,https://hh.ru/vacancy/118732588,CyberEd,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Младший программист С/C++,https://hh.ru/vacancy/118002552,КДМ,не указана,От 1 года до 3 лет,Нет,0,1,1,0,1,0,0,0,0,0,0,0
Специалист сопровождения закупочной деятельности,https://hh.ru/vacancy/118967816,Солар,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам B2B (выставки высоких технологий АПК),https://hh.ru/vacancy/118771439,Агрос Экспо Групп,от 125000 RUR,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Middle+ DevOps Engineer (DLP),https://hh.ru/vacancy/117368767,СБЕР,не указана,От 3 до 6 лет,Нет,1,1,0,0,1,0,0,0,0,0,0,0
Senior Java Developer,https://hh.ru/vacancy/117476441,Ростелеком Информационные Технологии,не указана,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Инженер по управлению рисками кибербезопасности,https://hh.ru/vacancy/118123189,Spice IT,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
DevSecOps инженер,https://hh.ru/vacancy/118968766,Okko,не указана,От 1 года до 3 лет,Да,0,1,0,0,1,0,0,0,0,0,0,1
Программист,https://hh.ru/vacancy/118591921,Bonya Beauty,от 50000 RUR,От 3 до 6 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Специалист по тестированию на проникновение (Pentester),https://hh.ru/vacancy/118247230,MobileUp,от 200000 до 350000 RUR,От 1 года до 3 лет,Нет,0,1,0,0,0,0,1,0,0,0,0,0
Backend Developer Node.js (Middle),https://hh.ru/vacancy/118856285,Р-Вижн,не указана,От 3 до 6 лет,Да,0,1,1,0,1,0,0,0,0,0,0,0
"Аналитик по информационной безопасности, Ozon Банк",https://hh.ru/vacancy/118962531,Ozon,не указана,От 1 года до 3 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Специалист по компенсациям и льготам (C&B),https://hh.ru/vacancy/115783603,BI.ZONE,не указана,От 3 до 6 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Менеджер по продажам спонсорства,https://hh.ru/vacancy/118069036,Кибердом,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,1,0,0,0,0,0,0
Менеджер по работе с партнёрами,https://hh.ru/vacancy/118858236,Секъюритм,от 150000 до 300000 RUR,От 3 до 6 лет,Да,0,0,0,0,0,1,0,0,0,0,0,0
Project Manager инфраструктурных проектов,https://hh.ru/vacancy/118306835,DatsTeam,не указана,От 1 года до 3 лет,Да,0,1,0,0,0,0,0,0,0,0,0,0
Системный аналитик (junior/middle),https://hh.ru/vacancy/115248288,"Полилог, КГ",не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,0,0,0,0
Дизайнер (IT / ИБ),https://hh.ru/vacancy/118633431,Гексагон,не указана,От 1 года до 3 лет,Нет,0,0,0,0,0,0,0,0,1,0,0,0
